"name","?column?","context","type","order","status"
"Comment title","Comment title","global","App\Models\Snippet",0,"published"
"More News","More News","global","App\Models\Snippet",0,"published"
"Reviews & Discussions","Reviews & Discussions","global","App\Models\Snippet",0,"published"
"Write comment","Write comment","global","App\Models\Snippet",0,"published"
"All Proposals","All Proposals","global","App\Models\Snippet",0,"published"
"Showing","Showing","global","App\Models\Snippet",0,"published"
"I acknowledge rol","I acknowledge rol","global","App\Models\Snippet",0,"published"
"Leave a review","Leave a review","global","App\Models\Snippet",0,"published"
"Over Budget","Over Budget","global","App\Models\Snippet",0,"published"
"Email","Email","global","App\Models\Snippet",0,"published"
"Total reviews","Total reviews","global","App\Models\Snippet",0,"published"
"Reviews","Reviews","global","App\Models\Snippet",0,"published"
"Review title","Review title","global","App\Models\Snippet",0,"published"
"Post review","Post review","global","App\Models\Snippet",0,"published"
"View comments","View comments","global","App\Models\Snippet",0,"published"
"Reply","Reply","global","App\Models\Snippet",0,"published"
"Thanks for voting","Thanks for voting","global","App\Models\Snippet",0,"published"
"For the tech-heads","For the tech-heads","global","App\Models\Snippet",0,"published"
"Current Epoch","Current Epoch","global","App\Models\Snippet",0,"published"
"Beginner friendly instructions for buying ADA using your mobile device or computer","Beginner friendly instructions for buying ADA using your mobile device or computer.","global","App\Models\Snippet",0,"published"
"Cardano is a blockchain platform that solves real problems in our world","Cardano is a blockchain platform that solves real problems in our world:","global","App\Models\Snippet",0,"published"
"mailing-list-cta","News, insights, and resources in your inbox.","global","App\Models\Snippet",0,"published"
"staking","**Staking**     Not everyone who wants to participate in the Cardano ecosystem can run and maintain a computer server. This is where staking comes in: you can delegate your ADA to a pool. Then, when that pool gets rewarded, you get paid too, proportional to the amount of your stake. This is like interest earned in a traditional bank savings account. While the bank holds your money, they are putting it to work by loaning it out to others, and collecting interest. So you earn a (teeny tiny!) cut of that return in the form of interest on your savings. With staking, you are letting your investment work for you. Unlike traditional banking, everyone decides the rules of the ecosystem, not a few. So, the returns are more inspiring and fair than what you would get at the bank.","what is staking","App\Models\Snippet",4,"published"
"Password","Password","global","App\Models\Snippet",0,"published"
"Votes","Votes","global","App\Models\Snippet",0,"published"
"Already registered?","Already registered?","global","App\Models\Snippet",0,"published"
"alreadyRegistered","Already Registered?","global","App\Models\Snippet",0,"published"
"Confirming your humanity","Confirming your humanity","global","App\Models\Snippet",0,"published"
"Website","Website","global","App\Models\Snippet",0,"published"
"All","All","global","App\Models\Snippet",0,"published"
"Awarded On","Awarded On","global","App\Models\Snippet",0,"published"
"who buy ada in coinbase","**In Coinbase**   Use your email to register. Follow the directions to verify your email address before proceeding.","how to buy ada","App\Models\Snippet",3,"published"
"Resources to get you started","Resources to get you started","global","App\Models\Snippet",0,"published"
"How To Stake","How To Stake","global","App\Models\Snippet",0,"published"
"Comments","Comments","global","App\Models\Snippet",0,"published"
"PHUFFY Coin","PHUFFY Coin","global","App\Models\Snippet",0,"published"
"PHUFFY COIN","PHUFFY COIN","global","App\Models\Snippet",0,"published"
"cardano-projects","Cardano supports growth and development of the network using funds from its treasury. The treasury is at the core of both innovation and stability on the network.","treasury-dashboard","App\Models\Snippet",0,"published"
"Delegator Login","Delegator Login","global","App\Models\Snippet",0,"published"
"lidonation.com","lidonation.com","global","App\Models\Snippet",0,"published"
"Rewards get paid every five days","Rewards get paid every five days","global","App\Models\Snippet",0,"published"
"Solution","Solution","global","App\Models\Snippet",0,"published"
"All Insights","All Insights","global","App\Models\Snippet",0,"published"
"Register","Register","global","App\Models\Snippet",0,"published"
"Funded Applications","Funded Applications","global","App\Models\Snippet",0,"published"
"Status","Status","global","App\Models\Snippet",0,"published"
"Community reviews","Community reviews","global","App\Models\Snippet",0,"published"
"upvote","upvote","global","App\Models\Snippet",0,"published"
"Insight","Insights","global","App\Models\Snippet",0,"published"
"Monthly Meeting","Monthly Meeting","global","App\Models\Snippet",0,"published"
"Fund","Fund","global","App\Models\Snippet",0,"published"
"You did it","You did it","global","App\Models\Snippet",0,"published"
"Winning Proposals","Winning Proposals","global","App\Models\Snippet",0,"published"
"Challenge","Challenge","global","App\Models\Snippet",0,"published"
"Claimed","Claimed","global","App\Models\Snippet",0,"published"
"Proposals","Proposals","global","App\Models\Snippet",0,"published"
"Over Budget Proposals","Over Budget Proposals","global","App\Models\Snippet",0,"published"
"Awarded","Awarded","global","App\Models\Snippet",0,"published"
"Previous in series","Previous in series","global","App\Models\Snippet",0,"published"
"Next in series","Next in series","global","App\Models\Snippet",0,"published"
"lIDONationWhiteLogo","LIDO Nation White Logo","global","App\Models\Snippet",0,"published"
"Top","Top","global","App\Models\Snippet",0,"published"
"Cardano uses a network of Staking Pools to operate","Cardano uses a network of “Staking Pools” to operate","global","App\Models\Snippet",0,"published"
"cardanoCryptoNews","Cardano & Crypto News","global","App\Models\Snippet",0,"published"
"projects","Projects","global","App\Models\Snippet",0,"published"
"phuffyCoin","PHUFFY Coin","global","App\Models\Snippet",0,"published"
"causes","Causes","global","App\Models\Snippet",0,"published"
"fAQs","FAQs","global","App\Models\Snippet",0,"published"
"forgotYourPassword","Forgot Your Password?","global","App\Models\Snippet",0,"published"
"cryptocurrency","Cryptocurrency","global","App\Models\Snippet",0,"published"
"claim","claim","global","App\Models\Snippet",0,"published"
"allRightsReserved","All rights reserved.","global","App\Models\Snippet",0,"published"
"homeUrl","lidonation.com","global","App\Models\Snippet",0,"published"
"cryptocurrencyIsGrowing","Cryptocurrency is growing","global","App\Models\Snippet",0,"published"
"homeUrl","lidonation.com","global","App\Models\Snippet",0,"published"
"kubernetes-powered","**Kubernetes Powered**   Enabling a host of super powers including rolling updates (aka near zero downtime upgrades) and self healing. This also means that if something really bad happens and we have to switch cloud providers, we could be back online in under 1 hr. K8s also lets us increase our RAM, CPU and disk with less than 1 minute of downtime for the producer, zero downtime for other nodes.","global","App\Models\Snippet",0,"published"
"Price USD","Price USD","global","App\Models\Snippet",0,"published"
"Financial Details","Financial Details","global","App\Models\Snippet",0,"published"
"Learn how to buy ADA and grow your investment","Learn how to participate - and earn rewards.","global","App\Models\Snippet",0,"published"
"mins","mins","global","App\Models\Snippet",0,"published"
"cardano-is-uniquely-secure","It is uniquely secure, fast, scalable and flexible.","homepage","App\Models\Snippet",0,"published"
"Is a Blockchain platform and Cryptocurrency","Is a Blockchain platform and Cryptocurrency","global","App\Models\Snippet",0,"published"
"You can be a part of it","You can be a part of it!","global","App\Models\Snippet",0,"published"
"A review","A review","global","App\Models\Snippet",0,"published"
"fourPercentRewards","4% of all rewards is reinvested in our pool to support the pool, our contributors, and causes you care about!","global","App\Models\Snippet",0,"published"
"stakedTokensGrow","Staked coins grow in value as the Cardano network grows, and also earn 5% APY, paid out and compounded weekly.","global","App\Models\Snippet",0,"published"
"Login","Login","global","App\Models\Snippet",0,"published"
"Connect","Connect","global","App\Models\Snippet",0,"published"
"Cardano Treasury","Cardano Treasury","global","App\Models\Snippet",0,"published"
"How To Buy ADA","How To Buy ADA","global","App\Models\Snippet",0,"published"
"Tools","Tools","global","App\Models\Snippet",0,"published"
"Choose Your Language","Choose Your Language","global","App\Models\Snippet",0,"published"
"With LIDO","With LIDO","global","App\Models\Snippet",0,"published"
"cardanoStats","Cardano Stats","global","App\Models\Snippet",0,"published"
"Deep dive into world of blockchain","Deep dive into world of blockchain","global","App\Models\Snippet",0,"published"
"Financial transactions that are fast, secure, and affordable","Financial transactions that are fast, secure, and affordable","global","App\Models\Snippet",0,"published"
"Continue Reading","Continue Reading","global","App\Models\Snippet",0,"published"
"headlines-insights-reviews","Headlines, insights and reviews from Lido Nation contributors.","global","App\Models\Snippet",0,"published"
"Cardano Identity & Records","**Identity & Records**   When you go to a new country, or even a new state, your identity does not follow you. Cardano uses the blockchain to store your identity. And because the blockchain is global, your ID and personal records are available wherever you go.  Imagine a world where the same driver’s license that works for you in Texas, also works in Sierra Leone. And the same goes for educational achievements, professional credentials, and medical records.","what is cardano","App\Models\Snippet",4,"published"
"Staked with LIDO","Staked with LIDO","global","App\Models\Snippet",0,"published"
"Enter Your Email","Enter Your Email","global","App\Models\Snippet",0,"published"
"Forgot your password?","Forgot your password?","global","App\Models\Snippet",0,"published"
"Amount","Amount","global","App\Models\Snippet",0,"published"
"Funded Proposals","Funded Proposals","global","App\Models\Snippet",0,"published"
"reviewsDiscussions","Reviews & Discussions","global","App\Models\Snippet",0,"published"
"I acknowledge role","I acknowledge role","global","App\Models\Snippet",0,"published"
"hrs","hrs","global","App\Models\Snippet",0,"published"
"Type your review","Type your review","global","App\Models\Snippet",0,"published"
"Community Advisor Reviews","Proposal Assessor Reviews","global","App\Models\Snippet",0,"published"
"LIDO Nation","LIDO Nation","global","App\Models\Snippet",0,"published"
"Pool operators and delegators receive rewards for participation","Pool operators and delegators receive rewards for participation","global","App\Models\Snippet",0,"published"
"Is the future of decentralized record keeping","Is the future of decentralized record keeping","global","App\Models\Snippet",0,"published"
"2020 LIDO NATION. All rights reserved.","2020 LIDO NATION. All rights reserved.","global","App\Models\Snippet",0,"published"
"days","days","global","App\Models\Snippet",0,"published"
"Collapse","Collapse","global","App\Models\Snippet",0,"published"
"Remember me","Remember me","global","App\Models\Snippet",0,"published"
"Verify your identity","**Verify your identity**   Coinbase will provide step-by-step directions to verify your identity.    Click Settings >> Add a Payment Method","how to buy ada","App\Models\Snippet",4,"published"
"Write review","Write review","global","App\Models\Snippet",0,"published"
"Average rating","Average rating","global","App\Models\Snippet",0,"published"
"Treasury Dashboard","Treasury Dashboard","global","App\Models\Snippet",0,"published"
"projectCatalyst","Project Catalyst","global","App\Models\Snippet",0,"published"
"Add funding source","**Add funding source.**   Using your bank account as a funding source for your purchase is recommended to avoid fees associated with other sources.    Click **Settings**   Click **Add Payment Method**","how to buy ada","App\Models\Snippet",5,"published"
"Problem","Problem","global","App\Models\Snippet",0,"published"
"of the fund","of the fund","global","App\Models\Snippet",0,"published"
"thrive","## THRIVE The mature treasury is a public resource.   to fund innovation and ensure enduring stability.   Your vote counts!","treasury-dashboard","App\Models\Snippet",0,"published"
"motivate humans","Humans are motivated and driven by self-interest, so Cardano was built to recognize and align with this fact. The Cardano network rewards participants and decentralizes power. This is achieved through the function of its digital currency, ADA, and a process called “Staking”. The result is a system that is both sturdy and egalitarian.","what is staking","App\Models\Snippet",1,"published"
"createYoroiWallet","Create a Yoroi wallet","global","App\Models\Snippet",0,"published"
"Review","Review","global","App\Models\Snippet",0,"published"
"installYoroiApp","Install Yoroi app from your app store.","global","App\Models\Snippet",0,"published"
"onYourPhone","On Your Phone","global","App\Models\Snippet",0,"published"
"deledateToLidoNation","Delegate to Lido Nation!","global","App\Models\Snippet",0,"published"
"proposers","Proposers","global","App\Models\Snippet",0,"published"
"more things on carda","As more things move to the Cardano network, the more control and freedom we gain for all people.     Cardano is the world’s new operating system for finance, identity, and governing. Cardano has a currency called ADA. By buying and holding ADA, you can take part in how Cardano grows and changes. Cardano is the most secure, safe, and open public utility we have ever built.","what is cardano","App\Models\Snippet",7,"published"
"Total Applications","Total Applications","global","App\Models\Snippet",0,"published"
"crypto-not-for-techies","If you think cryptocurrency is just for techies and finance gurus, think again. The future is for everyone, and Lido Nation is here to help.","global","App\Models\Snippet",0,"published"
"Government on cardano","**Government**   Cardano wants to change how we form, interact with, and hold governments accountable. Cardano is currently the only blockchain protocol trying to do this. With the blockchain and Cardano, we can create true democracy. Imagine a country where any citizen can create an agenda on the blockchain. Then every citizen can vote, with total security. Imagine a future where bad politics and corrupt government must change, or be changed.","what is cardano","App\Models\Snippet",5,"published"
"Voted yes but over budget applications","Voted yes but over budget applications","global","App\Models\Snippet",0,"published"
"Read full review","Read full review","global","App\Models\Snippet",0,"published"
"Results Filtered By","Results Filtered By","global","App\Models\Snippet",0,"published"
"Community Reviews","Community Reviews","global","App\Models\Snippet",0,"published"
"Launched","Launched","global","App\Models\Snippet",0,"published"
"Experience","Experience","global","App\Models\Snippet",0,"published"
"how to Purchase ADA","**Purchase ADA**   1. Click the Trade (arrows) center button at the bottom of the app.   2. Click Buy. Select Cardano (ADA) as the currency you wish to buy.   3. Confirm the amount and Bank Account and click Preview buy.   4. On the next screen click Buy Now","who buy ada","App\Models\Snippet",6,"published"
"What is Cardano","What is Cardano","global","App\Models\Snippet",0,"published"
"Validate Wallet","Validate Wallet","global","App\Models\Snippet",0,"published"
"the stake pools","**The Pools**    Cardano achieves trustless shared security and responsibility by encouraging a robust network of participants. Why would a pool operator want to do the work of maintaining a pool in the network? Because there’s money in it, of course! About every five days, **pools that perform their job for the blockchain, receive a certain amount of ADA as a reward.**","what is staking","App\Models\Snippet",3,"published"
"the staking network","**The Network**   The Cardano “Network” is just that: a network of connected computer nodes. Each node is maintained by a stake pool operator. When there are transactions on the network, a random pool is selected to scoop up a bunch of these transactions, validate them, put them in a block, then update their copy of the global blockchain database. Next, every other computer on the network processes and confirms and download the update. Sharing responsibilities removes the need to trust a central bank or government.    Since every node has a its own copy of the blockchain, it’s impossible for one node to add records that everyone didn’t agree to. No one can claim money they are not entitled to; fraudulent transactions are rejected by the rest of the network forcing the random chosen pool to play by the rules.","what is staking","App\Models\Snippet",2,"published"
"Team","Team","global","App\Models\Snippet",0,"published"
"pool-margin","**Margin**   Each time Lido Nation mints a block, the pool retains 340 ₳ + 4% margin.   That 4% margin stays in the pool to fund charity causes you vote for, to pay delegators like you who contribute content and code to our site, and to keep the Cardano pool engine running.","global","App\Models\Snippet",0,"published"
"cardano-money","**Money**   Cardano has a digital currency called ADA. You can use ADA to buy food and services where accepted. You can also trade ADA for local currency, as you might exchange US Dollars for Euros. One way that ADA works better than traditional currencies is that it is easy, fast, and cheap to send it anywhere in the world. It is also accessible and secure, so that even areas of the world without reliable banking can use it.","what is cardano","App\Models\Snippet",2,"published"
"rating-discussion-intro","Help provide a safe onramp for newcomers!    If you are a user we would love it if you would make your voice heard and leave a review.    If you are not a reugular user but have some expertise that makes you uniquely quality to help increase the community understanding and trust, please leave a review also!  rating-discussion-intro  Remember to be kind; the goal is to be helpful.","global","App\Models\Snippet",0,"published"
"in-the-1700s","In the 1700s the steam engine paved the way to the industrial revolution. When it arrived in 1983, the internet paved the way for the information revolution. Both innovations created vast amounts of new wealth, for new people. This forced society to change how we live and govern. Yet, the happiness or misery of a child born today is still tied to what government and social class she is born into. **Cardano is a new technology that wants to use the blockchain to change that.**","what is cardano","App\Models\Snippet",1,"published"
"ico","## ICO The ""Initial Coin Offering"" in 2016 raised funds by offering the coin to the public. Most coins stop here!","treasury-dashboard","App\Models\Snippet",0,"published"
"Staking is no-risk and all reward","**Staking is no-risk and all reward.**   You can spend, trade, or use your ADA whenever you want to. While your ADA is staked, you are eligible to earn rewards. Also, your investment facilitates processing on the network. Through this clever arrangement, Cardano has created a system that maintains high security and fairness, by aligning human self-interest with network rules.","what is staking","App\Models\Snippet",7,"published"
"buy ada intro","So you’ve decided you want to own some ADA, but all you have is Dollars (or any kind of fiat money). What you need is a cryptocurrency on-ramp. If you live in the, US, Canada, United Kingdom, or most parts of Europe, a simple easy-to-use exchange is Coinbase.","how to buy ada","App\Models\Snippet",1,"published"
"Promising consumer facing projects in the Cardano ecosystem","Promising consumer facing projects in the Cardano ecosystem","global","App\Models\Snippet",0,"published"
"Identity and personal records that are global, private, and safe","Identity and personal records that are global, private, and safe","global","App\Models\Snippet",0,"published"
"Cardano in the World","**Cardano in the World**   Beyond these few examples, Cardano is what we make of it. It’s like Windows without Microsoft or iPhones without Apple. It’s a public utility, like the internet, or radio waves. The difference is that with Cardano, everyone can have a say in how the system works.  **Greece** is running an experiment with storing their diplomas on the Cardano blockchain.  **Ethiopia** is launching a new pilot system built on Cardano for 5 million of its citizens.  You can lobby your student or local government to move record-keeping to Cardano. You can use a drag and drop builder to create escrows, swaps, bonds, and financial contracts without coding knowledge!","what is cardano","App\Models\Snippet",6,"published"
"Invest in ADA","If you invest in Cardano and choose not to stake, it’s a bit like hiding your savings under the mattress. In fact it is worse! The exchange where your ADA resides is actually staking it for you – and keeping 100% of the rewards. Nor should you stake on an exchange. In these cases, the exchange is still the big winner. They control the choice of available pools, and the fees they collect are higher.  **Choose a pool you believe in to maximize your returns and support the network**","what is staking","App\Models\Snippet",6,"published"
"pool-rewards","**Rewards**   When our pool is fully funded, delegators earn rewards every five days, automatically.    Unlike other networks where pool operators are in charge of meting out rewards, **the Cardano staking reward system is fully automated and trustless**. Rewards come directly from Cardano into your wallet. You are in control every step of the way.    When Lido Nation mints a block on the chain, you will receive rewards in your wallet at the end of the 5-day epoch.    **Rewards are expected to be about 5% annually.**","global","App\Models\Snippet",0,"published"
"Pre-paying for future innovations","Pre-paying for future innovations.","global","App\Models\Snippet",0,"published"
"roadmap","Roadmap","global","App\Models\Snippet",0,"published"
"equitable and accessible government and voting","equitable and accessible government and voting","global","App\Models\Snippet",0,"published"
"how-to-buy-coinbase","You can use [Coinbase](https://www.coinbase.com on your desktop computer, or download the free Coinbase App onto your phone.","how to buy","App\Models\Snippet",2,"published"
"stakedTokensEarnRewards","Staked tokens earn rewards","global","App\Models\Snippet",0,"published"
"Your cryptocurrency is now held in a hoste","Your cryptocurrency is now held in a hosted wallet by Coinbase on your behalf (a custodial wallet).    To take full control of your cryptocurrency funds you should move them to a wallet that you control.   **Even better: once you have moved them to a personal wallet, you can stake your ADA with Lido Nation and earn more ADA, just for participating.**    This is the best way to secure your funds and live that LIDO life!","global","App\Models\Snippet",7,"published"
"nominate-and-vote","You can nominate and vote for your favorite charitable organization, contribute content, and connect with other pool members on our Community Page.","global","App\Models\Snippet",0,"published"
"national average","While the national average interest rate on a savings account in the U.S. is at .04%, staked Cardano earns about 5.5% annually in rewards.","what is staking","App\Models\Snippet",5,"published"
"lido-monitoring","**24/7 Monitoring**   1 full downtime since 2016. Our LIDO deployment is one of 8 enterprise cloud environments we keep happy and healthy. It’s our day job, not a gig or a weekend project. That means you can trust Lido Nation not to miss blocks; your stake with us is our top priority.","global","App\Models\Snippet",0,"published"
"whatWalletAreYouUsing","What wallet are you using for staking?","global","App\Models\Snippet",0,"published"
"about-the-rig","**About the “rig”**   16G RAM 3Cpd Coffee 32Gbps Network    Because we can scale up < 1 min, we reduce waste by not over provisioning our nodes keeping our cost super low! Our network is powered by Google’s well-provisioned, low latency, highly reliable Premium Tier global network, an extensive private fiber network with over 100 points of presence.","global","App\Models\Snippet",0,"published"
"Get more articles like this in your inbox","Get more articles like this in your inbox","global","App\Models\Snippet",0,"published"
"learnAboutPhuffycoin","Learn About PHUFFY Coin","global","App\Models\Snippet",0,"published"
"grow","## GROW Fees from Cardano transactions fund the  Treasury and Project Catalyst. It is self-sustaining!","treasury-dashboard","App\Models\Snippet",0,"published"
"Catalyst Proposals","Catalyst Proposals","global","App\Models\Snippet",0,"published"
"easy123ProcessOnHowToStakeYourADAAndEarn","Easy 1-2-3 process on how to stake your ADA and earn 5% annually.","global","App\Models\Snippet",0,"published"
"Mint Phuffies","Mint Phuffies","global","App\Models\Snippet",0,"published"
"dashboard","Dashboard","global","App\Models\Snippet",0,"published"
"rewards-towards","Together we can earn rewards, support causes you care about, and give to your local communities!","homepage","App\Models\Snippet",0,"published"
"Total Pools","Total Pools","global","App\Models\Snippet",0,"published"
"Lifetime","Lifetime","global","App\Models\Snippet",0,"published"
"comment-thanks-message","Thanks for you comments! It will be posted shortly!","global","App\Models\Snippet",0,"published"
"rating-discussion-acknowledgement","I acknowledge that real people spent many hours, days and weeks of their lives creating this project or initiative.  As such, I will treat the work with respect. I will offer my best fair and thoughtful review to help the public be more informed or feedback of what would make the product better.","reviews","App\Models\Snippet",0,"published"
"Delegate to Lido Nation","## Delegate to Lido Nation     ### In Yoroi:   * Click on the Delegation tab.   * In the search box Search for **lido** and click the  **Delegate** button for **LIDO**","how to stake","App\Models\Snippet",6,"published"
"explore","Explore","global","App\Models\Snippet",0,"published"
"importantDates","Important Dates","global","App\Models\Snippet",0,"published"
"rating-system-explain","This review is provided free of charge and with no input from project teams. This review is not an endorsement; our goal is to provide an unbiased review, and a platform for ongoing conversation. Your participation, feedback, and corrections are welcomed in the comments sections below.","global","App\Models\Snippet",0,"published"
"Easy 1-2-3 process on how to stake your ADA and earn 5% annually","Easy 1-2-3 process on how to stake your ADA and earn 5% annually","global","App\Models\Snippet",0,"published"
"catalyst","Catalyst","global","App\Models\Snippet",0,"published"
"Cardano Contracts","**Contracts**   Why stop at money? You can also send other money-like things. For example, home or car ownership certificates. Things on the blockchain are permanent and incorruptible. As a result, no one can bribe a government worker to steal your home from you.","what is cardano","App\Models\Snippet",3,"published"
"fAQs","FAQs","global","App\Models\Snippet",0,"published"
"phuffyCoin","PHUFFY Coin","global","App\Models\Snippet",0,"published"
"What is staking","What is staking","global","App\Models\Snippet",0,"published"
"FAQs","FAQs","global","App\Models\Snippet",0,"published"
"Roadmap","Roadmap","global","App\Models\Snippet",0,"published"
"Lido Nation is a purpose driven staking pool","Lido Nation is a purpose driven staking pool on the Cardano network. It is a space for people to interact, meet, learn, and teach each other. When you stake with LIDO, you are part of a team where every voice counts.","about the pool","App\Models\Snippet",0,"published"
"catalystNumbers","catalyst Numbers","global","App\Models\Snippet",0,"published"
"reports","Reports","global","App\Models\Snippet",0,"published"
"meetup-intro","Join us the last Friday each month for our open planning meeting. We will demo our latest updates & discuss next steps. We welcome your questions and ideas!","global","App\Models\Snippet",0,"published"
"people","People","global","App\Models\Snippet",0,"published"
"projects","Projects","global","App\Models\Snippet",0,"published"
"Causes","Causes","global","App\Models\Snippet",0,"published"
"hello","Hello","global","App\Models\Snippet",0,"published"
"allVotesMustBeSubmittedInTheApp","All Votes must be submitted in the official Catalyst Voting App. This is a research & planning tool only!","global","App\Models\Snippet",0,"published"
"totalUsers","Total Users","global","App\Models\Snippet",0,"published"
"catalystUsers","Catalyst Users","global","App\Models\Snippet",0,"published"
"proposers","Proposers","global","App\Models\Snippet",0,"published"
"Blockchain Glossary","Blockchain Glossary","global","App\Models\Snippet",0,"published"
"home-one","The world is changing fast. Every community is becoming a global community, enabled and shaped by new tools. Blockchain technology and digital currencies are making a big splash in the digital revolution.","global","App\Models\Snippet",0,"published"
"completedProjects","Completed Projects","global","App\Models\Snippet",0,"published"
"Create a wallet on Yoroi","## Create a wallet on Yoroi    Yoroi is a digital wallet for ADA. You can Use Yoroi as a browser extension on your computer, or as an app on your phone.        ##    ###  On your computer   * Navigate to yoroi-wallet.com   * Install browser extension for your browser (ie Chrome, Firefox, etc.)","how to stake","App\Models\Snippet",2,"published"
"getting","Getting","global","App\Models\Snippet",0,"published"
"lIDONationCommunity","LIDO Nation Community","global","App\Models\Snippet",0,"published"
"Send ADA to your wallet","## Send ADA to your wallet    **First, in Yoroi:**   Click the **Receive** tab.   Copy the address to the clipboard by clicking the copy button to the right of the address.","how to stake","App\Models\Snippet",4,"published"
"home-two","Lido Nation is here to help you ride the wave. We believe the Cardano blockchain and its cryptocurrency (ADA) are valuable assets for the future. We think that together we can shape a future that works for everyone regardless where you were born or grew up.","homepage","App\Models\Snippet",0,"published"
"invest-in-ada","You can participate by buying ADA and staking your coins in the Lido Nation pool.","homepage","App\Models\Snippet",0,"published"
"sendAdaToYourWallet","Send ADA to your wallet","global","App\Models\Snippet",0,"published"
"blockchain","Blockchain","global","App\Models\Snippet",0,"published"
"groups","Groups","global","App\Models\Snippet",0,"published"
"catalystExplorer","Catalyst Explorer","global","App\Models\Snippet",0,"published"
"cardano-was-developed","Cardano was developed to address problems found in other blockchains, based on peer-reviewed research.","global","App\Models\Snippet",0,"published"
"Contracts and deeds that are smart, simple, and free of red tape","Contracts and deeds that are smart, simple, and free of red tape","global","App\Models\Snippet",0,"published"
"new to the","New to the","global","App\Models\Snippet",0,"published"
"started","Started","global","App\Models\Snippet",0,"published"
"viewCalendar","View Calendar","global","App\Models\Snippet",0,"published"
